"rfastnum","kdagur","nuvirdi","teg_eign","svfn","byggar","haednr","lyfta","ibm2","fjhaed","fjbilast","fjbkar","fjsturt","fjklos","fjeld","fjherb","fjstof","fjgeym","stig10","matssvaedi","undirmatssvaedi","ibteg"
10696588,"2015-07-28",22734,"Ibudareign",0,1967,3,0,86.9,1,0,1,0,1,1,3,1,0,10,200,0,12
10947402,"2015-08-11",59438,"Einbylishus",0,2004,1,0,139.6,1,0,1,1,2,1,4,1,0,10,130,0,11
10762986,"2015-08-06",30886,"Ibudareign",1604,2006,2,1,90.9,1,1,1,0,1,1,2,1,0,10,810,0,12
10609285,"2015-08-27",16237,"Ibudareign",3709,2008,2,0,70,1,0,1,0,1,1,1,1,1,10,3110,0,12
10163100,"2015-05-08",29486,"Ibudareign",0,1912,2,0,56.2,1,0,1,0,1,1,3,1,0,10,20,0,12
10670763,"2015-08-10",16273,"Ibudareign",2000,1982,2,0,84,1,0,0,0,0,1,2,1,0,10,2050,0,12
10118336,"2015-08-31",7158,"Ibudareign",2000,1980,2,0,54,1,0,1,0,1,1,1,1,0,10,2040,0,12
10959628,"2015-08-21",6463,"Ibudareign",2000,1978,3,0,46.8,1,0,1,0,1,1,1,1,1,10,2040,0,12
10424658,"2015-08-17",14944,"Ibudareign",2000,1972,1,0,89.3,1,0,1,0,1,1,2,1,1,10,2050,0,12
10928074,"2015-08-30",19300,"Ibudareign",6000,1987,2,0,110,1,0,1,0,1,1,3,1,0,10,6040,0,12
10886944,"2015-08-27",21803,"Ibudareign",6000,1988,1,1,79.8,1,0,0,1,1,1,1,1,1,10,6030,0,12
10166024,"2015-08-31",22321,"Ibudareign",6000,1904,0,0,93.6,2,0,1,0,1,1,3,1,1,10,6020,0,12
10082497,"2015-08-24",44512,"Parhus",6000,2016,1,0,136.6,1,0,1,2,2,1,3,1,1,5.5,6010,0,11
10517600,"2015-08-28",40087,"Parhus",6000,1995,1,0,138.8,2,0,1,1,2,1,3,1,1,10,6080,0,11
10687764,"2015-08-31",17126,"Ibudareign",6000,1988,2,1,62.2,1,0,1,0,1,1,1,1,0,10,6040,0,12
10819805,"2015-08-31",24677,"Ibudareign",6000,1999,2,0,92.7,1,0,1,0,1,1,2,1,1,10,6080,0,12
10819885,"2015-08-31",34091,"Radhus",6000,2005,1,0,113.2,1,0,1,0,1,1,3,1,1,10,6040,0,11
10926210,"2015-08-24",29415,"Einbylishus",2000,1963,1,0,258.2,2,0,0,1,4,2,5,2,0,10,2050,0,11
10733393,"2015-07-23",39892,"Ibudareign",1000,2007,2,3,142,1,1,1,1,1,1,3,1,1,10,351,0,12
10048779,"2015-07-30",31294,"Ibudareign",1000,1996,3,0,81.1,1,0,1,0,1,1,2,1,0,10,330,0,12
10189207,"2015-08-06",44272,"Ibudareign",0,1956,1,0,102.7,1,0,1,0,1,1,3,1,2,10,70,0,12
10442937,"2015-07-08",175000,"Ibudareign",0,2008,5,4,168.1,1,1,1,0,1,1,2,1,1,10,20,58,12
10222736,"2015-06-29",29330,"Radhus",1300,1984,1,0,84.9,1,0,0,1,1,1,2,1,0,10,530,101,11
10477590,"2015-07-29",29300,"Ibudareign",1000,2007,4,2,91.1,1,0,1,0,1,1,2,1,0,10,351,0,12
10318942,"2015-08-27",15561,"Radhus",6250,1964,1,0,126.3,2,0,0,1,1,1,5,1,3,10,6130,0,11
10919264,"2015-08-20",11000,"Ibudareign",7620,1976,2,0,80.8,1,0,1,0,1,1,2,1,1,10,7110,0,12
10573880,"2015-08-28",13976,"Ibudareign",8200,1950,0,0,62.7,1,0,1,0,1,1,1,1,1,10,8010,0,11
